mode,Final Selected Actions,Accuracy,AUC,TP,TN,FP,FN,Precision,Recall,F1,FP + FN
ALL,,0.9267015706806283,0.9018541996830427,1199.0,40.0,63.0,35.0,0.68,0.74,0.71,98
cph2,"2432, 2062, 3223, 3230, 1824, 678, 2986, 300, 2762, 2251, 339, 3028, 859, 2273, 2018, 2917, 2535, 3178, 1393, 378",0.9117427075542259,0.875905969360803,1176.0,43.0,86.0,32.0,0.65,0.75,0.69,118
cph2,"1795, 3340, 2061, 2062, 1043, 3475, 3221, 2201, 32, 2725, 3502, 969, 339, 1119, 2280, 1514, 1260, 629, 889, 2687",0.9027673896783844,0.8544532488114105,1175.0,32.0,87.0,43.0,0.62,0.68,0.64,130
cph2,"1804, 3475, 662, 2727, 3263, 973, 2125, 1999, 3535, 717, 3285, 985, 1626, 3170, 3686, 1514, 494, 3570, 629",0.9087509349289454,0.8670470153195985,1171.0,44.0,91.0,31.0,0.65,0.76,0.68,122
cph2,"2948, 2062, 657, 3099, 1949, 2728, 1967, 2616, 824, 2366, 2251, 859, 2143, 2273, 1634, 2530, 2018, 3048, 1002, 3309",0.9035153328347045,0.8727733755942948,1168.0,40.0,94.0,35.0,0.63,0.73,0.67,129
cph2,"2323, 1949, 797, 426, 939, 310, 1346, 203, 2257, 467, 3417, 1246, 1634, 2275, 359, 3309, 2038, 3706, 1917, 1023",0.900523560209424,0.8750501848917062,1165.0,39.0,97.0,36.0,0.63,0.72,0.66,133
cph2,"3328, 1322, 1333, 3129, 2619, 1212, 1981, 2113, 2115, 2378, 3281, 3668, 3285, 985, 219, 2275, 3557, 487, 1514, 1518",0.906507105459985,0.8714051769677761,1169.0,43.0,93.0,32.0,0.64,0.75,0.68,125
cph2,"383, 2191, 3223, 3099, 2716, 797, 670, 300, 2732, 716, 77, 859, 2018, 487, 3689, 3700, 117, 1913, 1917, 1023",0.9184741959611069,0.8833491811938722,1184.0,44.0,78.0,31.0,0.67,0.76,0.7,109
cph2,"2432, 1797, 3099, 936, 1832, 1325, 947, 3253, 2105, 1981, 1471, 329, 3022, 850, 2275, 1380, 1637, 487, 2290, 1023",0.9072550486163051,0.8643951399894348,1169.0,44.0,93.0,31.0,0.65,0.76,0.68,124
cph2,"3, 3212, 1805, 2062, 2450, 2079, 1441, 3235, 3110, 3383, 824, 3136, 73, 2273, 3686, 231, 2280, 1514, 1267, 3192",0.8990276738967838,0.8535393555203381,1167.0,35.0,95.0,40.0,0.62,0.7,0.64,135
custom,"2306, 1051, 2844, 157, 284, 3112, 2224, 2870, 2381, 2765, 1742, 722, 3286, 2006, 3558, 1130, 1389, 1521, 1398, 3069",0.900523560209424,0.8582303222398309,1166.0,38.0,96.0,37.0,0.63,0.72,0.65,133
custom,"1417, 1040, 3608, 1049, 3238, 680, 425, 813, 2870, 1975, 56, 2683, 1218, 2631, 1611, 3661, 1634, 362, 1776, 1531",0.906507105459985,0.8705758055995774,1175.0,37.0,87.0,38.0,0.63,0.71,0.66,125
custom,"3602, 3352, 3359, 2211, 3364, 1836, 2863, 2873, 1347, 2769, 3291, 610, 3682, 1257, 2283, 3565, 1903, 3825, 3316, 1145",0.900523560209424,0.8799313259376651,1166.0,38.0,96.0,37.0,0.63,0.72,0.65,133
custom,"151, 924, 548, 169, 2610, 1076, 2488, 3256, 2625, 582, 3789, 345, 1242, 1371, 1885, 480, 867, 744, 1384, 1401",0.9027673896783844,0.8428790279978869,1170.0,37.0,92.0,38.0,0.63,0.71,0.66,130
custom,"1031, 2068, 2976, 1700, 175, 819, 3774, 448, 1217, 1478, 1862, 1104, 859, 3295, 2529, 104, 622, 2543, 625, 753",0.9087509349289454,0.8681669307976757,1174.0,41.0,88.0,34.0,0.64,0.74,0.68,122
custom_ph,"402, 2707, 1946, 670, 438, 2107, 1212, 577, 1091, 3141, 1608, 3028, 2901, 2275, 1123, 1255, 1514, 3055, 3325, 126",0.9050112191473448,0.8656840993132594,1171.0,39.0,91.0,36.0,0.64,0.72,0.66,127
custom_ph,"1152, 2432, 2443, 2324, 1697, 45, 2097, 3004, 2878, 3263, 328, 2633, 973, 3279, 1617, 2645, 1115, 989, 349, 1634",0.9027673896783844,0.832783940834654,1171.0,36.0,91.0,39.0,0.63,0.7,0.65,130
custom_ph,"904, 3210, 3728, 2449, 2320, 934, 2855, 2345, 57, 1082, 2492, 1989, 3656, 2125, 1614, 1633, 1634, 1514, 3310, 1138",0.9012715033657442,0.8511568938193343,1166.0,39.0,96.0,36.0,0.63,0.72,0.66,132
custom_ph,"3593, 2576, 20, 3368, 2601, 432, 2490, 3002, 1984, 2628, 462, 2259, 1363, 1634, 2530, 1762, 3048, 747, 368, 2042",0.9027673896783844,0.8697411516111991,1165.0,42.0,97.0,33.0,0.64,0.74,0.67,130
custom_ph,"3587, 3591, 2187, 2191, 1824, 1834, 938, 298, 2098, 444, 196, 3793, 3153, 470, 479, 1634, 2531, 3555, 1910, 2682",0.9132385938668661,0.8803803486529319,1182.0,39.0,80.0,36.0,0.65,0.73,0.68,116
